_id,mountPerItem,itemNameAr,itemName,serviceId,categoryId
ObjectId(5bc04da4b07ea06689589255),,ستائر شيفون,Shere Curtain,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b16bc479a701d6c754a)
ObjectId(5bc04dceb07ea06689589264),,قميص,Shirt,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc04e5ab07ea06689589273),,بنطلون نصف شورت,Short,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc04e80b07ea06689589282),,سجاد حرير,Silk Carpet,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b44bc479a701d6c754b)
ObjectId(5bc04edbb07ea06689589291),,فستان حرير,Silk Dress,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc04f04b07ea066895892a0),,بيجاما حرير,Silk Pajama,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc04f27b07ea066895892af),,تنورة,Skirt,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc04f4cb07ea066895892be),,عباية شاك,Special Abaya,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc04f98b07ea066895892cd),,فستان خاص شك,Special Dress,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc04fdcb07ea066895892dc),,بدلة قطعتين,Suit 2 pcs,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc04ff3b07ea066895892eb),,بدلة ثلاث قطع,Suit 3 pcs,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc05022b07ea066895892fa),,كنزة صوف,Sweater,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc0504db07ea06689589309),,بنطلون,Trouser,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc050b0b07ea06689589318),,تيشرت,Tshirt,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc050d1b07ea06689589327),,سروال داخلي قصير,Upant - Small,ObjectId(5bacc2c17d1a7123248782f7),
ObjectId(5bc0512ab07ea06689589336),,سروال داخلي,Upant,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a3dbc479a701d6c7546)
ObjectId(5bc0515ab07ea06689589345),,فانيلة داخلي,Ushirt,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a3dbc479a701d6c7546)
ObjectId(5bc05174b07ea06689589354),,صديري,Vest,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc05195b07ea06689589363),,فستان عروسة,Wedding Dress,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc051afb07ea06689589372),,غطرة صوف,Wool Ghutra,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc05203b07ea06689589381),,ثوب صوف,Wool Thob,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc0690dac58cb25ccfab932),,قميص نشا,Shirt,ObjectId(5bacc2c17d1a7123248782f7),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc069f4ac58cb25ccfab950),,Abaya,Abaya,ObjectId(5bacc2c17d1a7123248782f7),
ObjectId(5bc45eddde51373d690b822a),,روب حمام,Bath Robe,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02ab6bc479a701d6c7547)
ObjectId(5bc4610dde51373d690b822c),,عباية,Abaya,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4612bde51373d690b8237),,شرشف كبير,Bed Sheet Large,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc46146de51373d690b8242),,شرشف صغير,Bed Sheet Small,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc46163de51373d690b824d),,بشت,Besht,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc46183de51373d690b8258),,بطانية كبيرة,Blanket Large,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc461a3de51373d690b8263),,عباية,Abaya,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc461b7de51373d690b826e),,بطانية صغيرة,Blanket Small,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc461d3de51373d690b8279),,بلوزة,Blouse,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc461dcde51373d690b8284),,روب حمام,Bath Robe,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02ab6bc479a701d6c7547)
ObjectId(5bc461dfde51373d690b828f),,عباية,Abaya,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc461ecde51373d690b829a),,طاقية,Cap,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc461f8de51373d690b82a5),,روب حمام,Bath Robe,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02ab6bc479a701d6c7547)
ObjectId(5bc46206de51373d690b82b0),,شرشف كبير,Bed Sheet Large,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc4620ade51373d690b82bb),,سجاد صيني,China-Carpet,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b44bc479a701d6c754b)
ObjectId(5bc46246de51373d690b82c6),,لحاف كبير,Comforter Large,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc46270de51373d690b82d1),,لحاف صغير,Comforter Small,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc462f1de51373d690b82dc),,لحاف مزخرف,Comforter Special,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc4630dde51373d690b82e7),,شرشف صغير,Bed Sheet Small,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc46317de51373d690b82f2),,شرشف كبير,Bed Sheet Large,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc4631fde51373d690b82fd),,ستائر,Curtain,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b16bc479a701d6c754a)
ObjectId(5bc4632ede51373d690b8308),,بيشت,Besht,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b60bc479a701d6c754c)
