_id,amountPerItem,itemNameAr,itemName,serviceId,categoryId
ObjectId(5bc4639dde51373d690b8376),15.5,فروة,Farwah,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc463a7de51373d690b8381),16,بطانية صغيرة,Blanket Small,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc463bfde51373d690b838c),10,بلوزة,Blouse,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc463c3de51373d690b8397),3,غترة,Ghutra,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc463d9de51373d690b83a2),1,طاقية,Cap,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc463dcde51373d690b83ad),1,طاقية,Cap,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc463dede51373d690b83b8),5.5,جاكيت,Jacket,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc463fade51373d690b83c3),3,بالطو,Lab Coat,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc463fbde51373d690b83ce),5,سجاد صيني,China-Carpet,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b44bc479a701d6c754b)
ObjectId(5bc46402de51373d690b83d9),10,سجاد صيني,China-Carpet,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b44bc479a701d6c754b)
ObjectId(5bc46414de51373d690b83e4),12,جاكيت نسائي,Lady Jacket,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4641dde51373d690b83ef),25,لحاف كبير,Comforter Large,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc46424de51373d690b83fa),20,لحاف كبير,Comforter Large,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc46436de51373d690b8405),250,جاكيت جلد طبيعي,Leather Jacket Normal,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc46439de51373d690b8410),20,لحاف صغير,Comforter Small,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc46454de51373d690b841b),150,جاكيت جلد صناعي,Leather Jacket,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc46454de51373d690b8426),15,لحاف صغير,Comforter Small,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc46459de51373d690b8431),30,لحاف مزخرف,Comforter Special,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc46472de51373d690b843c),3.5,بدلة عسكرية,Military Suit,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc46473de51373d690b8447),15,ستائر,Curtain,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b16bc479a701d6c754a)
ObjectId(5bc46482de51373d690b8452),30,لحاف مزخرف,Comforter Special,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02ad2bc479a701d6c7548)
